retriever,hit@1,hit@3,hit@5,hit@10,recall@1,recall@3,recall@5,recall@10,precision@1,precision@3,precision@5,precision@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,median_latency_ms,queries,errors,skipped_unanswerable
dense,0.6,0.7846153846153846,0.8615384615384616,0.9538461538461539,0.5846153846153846,0.7615384615384615,0.8461538461538461,0.9384615384615385,0.6,0.2717948717948718,0.18153846153846154,0.1165079365079365,0.6,0.6979362728043164,0.7326917997369271,0.7616789542834939,0.713009768009768,179.47179998736829,65,0,7
bm25,0.6923076923076923,0.8307692307692308,0.9076923076923077,0.9076923076923077,0.6615384615384615,0.8,0.8923076923076924,0.8923076923076924,0.6923076923076923,0.28205128205128205,0.19076923076923077,0.10347374847374848,0.6923076923076923,0.7520145100521262,0.7910934441171701,0.7910934441171701,0.7715384615384615,5.8256000047549605,65,0,7
hybrid,0.7230769230769231,0.8769230769230769,0.8923076923076924,0.9692307692307692,0.6923076923076923,0.8538461538461538,0.8846153846153846,0.9615384615384616,0.7230769230769231,0.30256410256410254,0.19076923076923077,0.11697191697191697,0.7230769230769231,0.7972068692821906,0.8108702330141357,0.8359072108122634,0.8058058608058608,191.30359997507185,65,0,7
dense+rerank,0.8615384615384616,0.9384615384615385,0.9538461538461539,0.9538461538461539,0.823076923076923,0.9230769230769231,0.9461538461538461,0.9461538461538461,0.8615384615384616,0.3282051282051282,0.2030769230769231,0.11952991452991453,0.8615384615384616,0.896154052304873,0.9057548295357013,0.9057548295357013,0.9005128205128204,3596.483099972829,65,0,7
hybrid+rerank,0.8615384615384616,0.9538461538461539,0.9538461538461539,0.9692307692307692,0.823076923076923,0.9384615384615385,0.9384615384615385,0.9615384615384616,0.8615384615384616,0.3333333333333333,0.2,0.1186080586080586,0.8615384615384616,0.9038463599971807,0.9038463599971807,0.9126865849806605,0.9051282051282051,3507.661100011319,65,0,7
